Volume Elevation Curve,
Reservoir: Tarbela Reservoir,
,
Volume,Elevation
[AF],[ft]
0,1083
583000,1300
586500,1301
607500,1307
618000,1310
621700,1311
643900,1317
655000,1320
658800,1321
681600,1327
693000,1330
697000,1331
721000,1337
733000,1340
737100,1341
761700,1347
774000,1350
784500,1351
847500,1357
879000,1360
889900,1361
955300,1367
988000,1370
999300,1371
1044500,1375
1101000,1380
1112900,1381
1160500,1385
1220000,1390
1232400,1391
1282000,1395
1344000,1400
1370000,1401
1500000,1406
1604000,1410
1630900,1411
1765400,1416
1873000,1420
1900800,1421
2039800,1426
2151000,1430
2179900,1431
2382200,1438
2440000,1440
2470400,1441
2683200,1448
2744000,1450
2786000,1451
3080000,1458
3164000,1460
3207600,1461
3512800,1468
3600000,1470
3644700,1471
3957600,1478
4047000,1480
4093400,1481
4232600,1484
4464600,1489
4511000,1490
4559300,1491
4704200,1494
4945700,1499
4994000,1500
5042700,1501
5188800,1504
5432300,1509
5481000,1510
5531500,1511
5683000,1514
5935500,1519
5986000,1520
6038600,1521
6249000,1525
6459400,1529
6512000,1530
6567000,1531
6787000,1535
7007000,1539
7062000,1540
7119300,1541
7176600,1542
7233900,1543
7291200,1544
7348500,1545
7405800,1546
7463100,1547
7520400,1548
7577700,1549
7635000,1550
7700000,1556.5
